Table with row headings in column A and column headings in row 4.,,,,,,
state,pop,num_pov,st_err_num,pct_pov,st_err_pct,Year
Missouri,5797,659,58,11.4,1.01,
Montana,930,125,12,13.5,1.26,
Nebraska,1765,180,20,10.2,1.12,
Nevada,2530,241,28,9.5,1.1,
New Hampshire,1308,71,11,5.4,0.84,
New Jersey,8650,762,64,8.8,0.74,
New Mexico,1939,328,29,16.9,1.49,
New York,19021,2668,119,14,0.63,
North Carolina,8847,1225,79,13.8,0.89,
North Dakota,615,70,7,11.4,1.18,
Ohio,11297,1371,83,12.1,0.74,
Oklahoma,3489,531,47,15.2,1.33,
Oregon,3705,439,45,11.8,1.23,
Pennsylvania,12326,1397,84,11.3,0.69,
Rhode Island,1054,110,13,10.5,1.19,
South Carolina,4224,474,49,11.2,1.15,
South Dakota,770,82,8,10.7,1.06,
Tennessee,5916,879,65,14.9,1.1,
Texas,23208,3816,147,16.4,0.63,
Utah,2536,235,25,9.3,0.97,
Vermont,618,48,6,7.8,1.05,
Virginia,7532,651,58,8.6,0.77,
Washington,6310,502,53,8,0.84,
West Virginia,1810,277,22,15.3,1.21,
Wisconsin,5471,555,54,10.1,0.98,
Wyoming,516,51,6,10,1.17,
Alabama,4501,750,59,16.7,1.31,2005
Alaska,657,66,7,10,1.14,
Arizona,6025,917,71,15.2,1.18,
Arkansas,2756,382,34,13.8,1.25,
California,35840,4716,164,13.2,0.46,
Colorado,4629,530,55,11.4,1.18,
Connecticut,3483,326,37,9.3,1.06,
Delaware,842,78,9,9.2,1.07,
D.C.,539,115,9,21.3,1.72,
Florida,17845,1975,102,11.1,0.57,
Georgia,9014,1298,80,14.4,0.88,
Hawaii,1274,110,12,8.6,0.97,
Idaho,1441,143,16,9.9,1.08,
Illinois,12571,1441,87,11.5,0.69,
Indiana,6131,774,62,12.6,1.01,
Iowa,2902,327,34,11.3,1.18,
Kansas,2693,337,34,12.5,1.25,
Kentucky,4049,599,53,14.8,1.31,
Louisiana,4086,748,58,18.3,1.42,
Maine,1314,166,17,12.6,1.31,
Maryland,5560,542,54,9.7,0.97,
Massachusetts,6318,641,57,10.1,0.9,
Michigan,9964,1196,78,12,0.78,
Minnesota,5113,412,46,8.1,0.91,
Mississippi,2843,571,41,20.1,1.46,
Missouri,5697,659,58,11.6,1.03,
Montana,926,128,12,13.8,1.28,
